mjd,m,dm,filter
57688.29557,13.782,0.011,c
57638.36141,13.822,0.008,c
57562.52373,13.584,0.011,o
57852.61674,13.549,0.017,o
57313.29326,13.874,0.014,c
57578.52604,13.763,0.011,c
57578.50991,13.802,0.011,c
57562.53943,13.659,0.012,o
57566.57954,13.435,0.014,o
57680.33146,13.6,0.01,o
57692.28532,13.915,0.01,c
57343.26663,13.97,0.01,c
57566.56356,13.458,0.015,o
57222.43569,13.586,0.013,o
57619.46997,13.536,0.013,o
57574.55405,13.958,0.012,c
57716.24545,14.119,0.007,c
57562.5594,13.762,0.014,o
57712.21383,13.464,0.008,o
57696.25152,14.113,0.009,c
57547.5875,13.8,0.013,c
57676.33981,13.473,0.009,o
57676.32474,13.518,0.009,o
57246.39065,14.084,0.01,c
57334.24459,13.989,0.011,c
57692.25684,13.813,0.009,c
57229.4731,13.989,18.36,o
57343.22458,14.064,0.009,c
57884.54604,13.444,0.086,o
57559.48375,13.53,0.014,o
57688.28086,13.832,0.008,c
57537.58243,13.778,0.01,c
57562.5716,13.737,0.013,o
57650.33987,13.605,0.01,o
57525.60307,13.477,0.012,o
57525.59281,13.501,0.013,o
57680.31492,13.533,0.009,o
57229.42293,13.446,0.095,o
57672.34349,13.76,0.013,o
57537.60204,13.794,0.011,c
57341.28728,14.056,0.008,c
57229.43016,13.507,1.888,o
57607.4409,14.071,0.016,c
57591.49162,13.47,0.01,o
57330.2758,13.694,0.017,o
57650.38223,13.777,0.01,o
57222.42405,13.531,0.011,o
57658.35193,13.814,0.009,c
57574.50433,14.016,0.012,c
57696.29182,13.979,0.008,c
57326.22407,13.543,0.022,o
57680.301,13.497,0.008,o
57229.39786,13.52,0.053,o
57700.24369,13.509,0.023,o
57246.42713,13.985,0.008,c
57322.28736,13.616,0.016,o
57529.55185,13.483,0.011,o
57342.26006,14.067,0.008,c
57529.58215,13.53,0.011,o
57688.25334,13.943,0.009,c
57498.55941,13.459,0.012,o
57638.41108,14.068,0.009,c
57559.4365,13.755,0.018,o
57607.46882,14.039,0.017,c
57611.45308,13.47,0.019,o
57222.44885,13.635,0.013,o
57547.54412,13.84,0.01,c
57313.3398,13.794,0.014,c
57716.20706,13.955,0.008,c
57852.63302,13.579,0.018,o
57562.5432,13.695,0.014,o
57688.32721,13.792,0.01,c
57574.57003,13.88,0.011,c
57323.27489,13.634,0.018,o
57638.40557,14.034,0.008,c
57591.47518,13.46,0.011,o
57670.29641,13.501,0.012,o
57619.50104,13.454,0.013,o
57525.61847,13.451,0.012,o
57611.43581,13.535,0.018,o
57559.45505,13.661,0.019,o
57529.53426,13.47,0.011,o
57696.30785,13.918,0.007,c
57558.52369,13.484,0.012,o
57692.31435,14.07,0.01,c
57688.29776,13.782,0.011,c
57650.37074,13.737,0.009,o
57696.2639,14.123,0.01,c
57330.20935,13.458,0.018,o
57591.46167,13.475,0.01,o
57559.47126,13.619,0.016,o
57716.21748,13.996,0.01,c
57630.41166,14.025,0.009,c
57343.2083,14.002,0.009,c
57330.25806,13.616,0.018,o
57630.42804,13.927,0.011,c
57591.50263,13.488,0.012,o
57562.52747,13.629,0.012,o
57326.24991,13.469,0.023,o
57529.56131,13.474,0.011,o
57591.51381,13.526,0.011,o
57543.59981,13.917,0.013,c
57222.43707,13.574,0.01,o
57578.4934,13.869,0.011,c
57611.47144,13.462,0.014,o
57537.59365,13.786,0.01,c
57672.30442,13.651,0.013,o
57670.33178,13.589,0.013,o
57547.54737,13.809,0.007,c
57326.27276,13.444,0.018,o
57562.51177,13.562,0.012,o
57498.54943,13.473,0.013,o
57680.27863,13.483,0.009,o
57619.45557,13.574,0.015,o
57696.27731,14.063,0.007,c
57558.55318,13.458,0.011,o
57543.56885,14.057,0.011,c
57562.58806,13.698,0.018,o
57658.37796,13.924,0.009,c
57700.22759,13.566,0.02,o
57578.54285,13.761,0.011,c
57676.35535,13.472,0.008,o
57566.51602,13.648,0.012,o
57525.57145,13.575,0.011,o
57558.51484,13.505,0.011,o
57716.19937,13.904,0.008,c
57600.47316,13.783,0.008,c
57658.3272,13.782,0.009,c
57334.29451,13.82,0.007,c
57611.44413,13.503,0.016,o
57537.59461,13.774,0.01,c
57884.52172,13.411,0.095,o
57680.28866,13.466,0.008,o
57716.23101,14.058,0.008,c
57547.56682,13.785,0.011,c
57547.58654,13.809,0.01,c
57688.26646,13.873,0.01,c
57600.50132,13.761,0.012,c
57688.28038,13.826,0.012,c
57547.53745,13.839,0.014,c
57578.55933,13.784,0.011,c
57313.27169,13.966,0.014,c
57638.39592,13.995,0.009,c
57670.30704,13.526,0.012,o
57322.27061,13.728,0.016,o
57600.44429,13.877,0.011,c
57322.24567,13.718,0.015,o
57313.31085,13.829,0.013,c
57222.45027,13.634,0.012,o
57600.45057,13.839,0.011,c
57650.35074,13.636,0.01,o
57700.21473,13.635,0.015,o
57600.46914,13.785,0.009,c
57611.41753,13.589,0.015,o
57672.31754,13.717,0.013,o
57543.6158,13.837,0.012,c
57619.48412,13.511,0.015,o
57672.32837,13.768,0.012,o
57638.37989,13.895,0.009,c
57322.30414,13.542,0.015,o
57559.41897,13.738,0.021,o
57600.48515,13.765,0.011,c
57600.45764,13.786,0.013,c
57366.23574,13.502,0.01,o
57574.52087,14.057,0.012,c
57323.29037,13.563,0.015,o
57246.3722,14.014,0.011,c
57658.33762,13.789,0.009,c
57222.46221,13.736,0.013,o
57670.31963,13.559,0.012,o
57688.31177,13.784,0.01,c
57619.44215,13.638,0.015,o
57672.29224,13.603,0.013,o
57562.55505,13.746,0.015,o
57692.27088,13.861,0.011,c
57650.3894,13.762,0.01,o
57529.5686,13.514,0.012,o
57852.59956,13.499,0.016,o
57562.576,13.739,0.015,o
57543.58845,13.968,0.013,c
57558.54443,13.453,0.011,o
57547.55536,13.806,0.01,c
57658.36414,13.859,0.009,c
57543.55891,14.089,0.013,c
57630.42208,13.969,0.01,c
57676.2987,13.608,0.008,o
57574.53713,14.04,0.011,c
57670.34523,13.672,0.012,o
57630.37974,14.074,0.012,c
57334.22109,14.076,0.012,c
57323.25546,13.751,0.027,o
57334.26885,13.884,0.007,c
57323.31032,13.52,0.017,o
57343.24719,14.062,0.009,c
57630.39427,14.092,0.01,c
57558.56382,13.471,0.011,o
57342.28003,13.984,0.009,c
57547.57813,13.792,0.012,c
57688.26695,13.889,0.008,c
57566.5314,13.584,0.018,o
57326.28925,13.456,0.017,o
57547.57744,13.807,0.01,c
57566.54728,13.498,0.014,o
57222.42265,13.532,0.01,o
57246.44537,13.888,0.008,c
57676.31069,13.555,0.008,o
57688.31292,13.781,0.009,c
57537.57611,13.765,0.01,c
